name,author,type,condition,introduction
入世侠客行,善士,传统武侠,连载中,                        商朝末年，诸侯并起，兵戈杀伐，天下战乱不断。一个世界，一座古墓，一个已死之人，地狱归来，且看他如何搅动风云，威慑天下！                    
武林教科书,圣父老余,传统武侠,连载中,                        穿越到古代江湖，开启一段武林传奇。自创北冥神功，六脉神剑，抗击倭寇，一统江湖，过一把皇帝瘾后，世间再无遗憾，然后破碎虚空！                    
仇断心铭,疯鱼粥,传统武侠,连载中,                        少年孟断自幼父母双亡，因为一本武功秘籍遭人追杀，在师门下随着师姐雨柔学艺，二人长时间相处渐生情愫，后被师兄嫉妒所害而逐出师门。孟断的武功秘籍却重新掀起一番波澜，最终明白了自己父亲便是故人所杀。去寻仇，                    
梦回鹿鼎吟留别,生煎包子,传统武侠,连载中,                        一个废品宅男陈柯，穿越到了鹿鼎记的世界。但是他穿越成了……阿珂？【韦小宝】俏老婆，加入我的逅宫团吧！【郑克爽】泥奏凯！阿珂是我的，都是我的！【陈近南】复明成功后，应拥立唐王为帝！【沐剑声】泥奏凯，我们                    
洺水山庄,消消消消,传统武侠,连载中,                        故事从一个婚姻开始，有三个不请自来的人走进了洺水山庄，然后武林就进入到一个血流成河的时代·······                    
大唐盛世之惊天奇案,冷悬空,传统武侠,连载中,                        警察学校四年级学生雷渊，因为某种原因穿越到唐代，并在离长安不远的永乐县当捕快，凭着在警校四年的经验，破解了许多疑案，无头尸案，采花大盗案，青楼连续杀人事件，等等一系列惊奇案件                    
南海归龙,闻嘉流浪,传统武侠,连载中,                        百年前的异教邪功今又重现江湖，所到之处掀起阵阵腥风血雨；年轻英俊的少年剑客横空出世，却有屡屡遭遇磨难；而在遥远神秘的东海尽头，是否果真藏有传说中的惊世武学……                    
乱世逍遥记,常居九,传统武侠,连载中,                        明正统年间，朝中宦官专权，江湖上也因天毒教宝贝失窃，而卷入无穷的利害之中。更有江湖儿女情长，爱恨痴缠。诗曰“风月无情人暗换，旧游如梦空肠断”，情之一字，终难参透。江湖纷争，人心难测，初涉江湖，风波彼起                    
北雁南潮录,素素因,传统武侠,连载中,                        被骂千古淫帝，真相成谜。传说他平生有三志，自己却一无所知。江湖广阔，有一人携手便不寂寞。誉谤天下，有容乃大！家国情仇，无欲则刚！                    
回乡无路之短歌行,泉城双子兔,传统武侠,连载中,                        在大多数人的眼中，杀手总是凶残狡诈，冷血无情的，可是我却知道这种想法是多麽的可笑——杀手也是人，也有着人类的七情六欲，只不过因为职业的特殊性，他们只能把感情深埋在心底，不可轻易的表露出来，所以人们看待                    
狐影迷踪,凡若心尘,传统武侠,连载中,                        玉面狐狸，一个一夜成名于江湖的侠士，却也在一夜间落寞于江湖。成了人人唾弃，武林所不耻，朝廷四海缉拿重犯……大明永乐年间，三桩血案，牵出了三件陈年旧案，也由此而揭开一段尘封的往事，将许多与案子有关或无关                    
狭刀狂剑,雪山青松,传统武侠,连载中,                        当世间没了公理正义，他一把刀，将杀遍天下！当道理讲不通时，唯有染血的头颅，才能让世人警醒！（武侠世界的现代兵王，一刀既出，谁与争锋！）                    
江湖之长歌行,张94,传统武侠,连载中,"                        杀一人为罪,杀万人为雄,杀百万为雄中雄.                    "
虹猫蓝兔段子,幸福苑,传统武侠,连载中,                        各种虹猫蓝兔小段子，有甜有虐，更文时间不定！                    
栾火之乱,带你流浪,传统武侠,连载中,                        我用着一生的热血去习武，用学到的武术来闯荡江湖，用江湖的情义来保家卫国！——————————一生豪情男儿志，保家卫国赤子心。三尺龙泉手中握，斩断天下入侵贼。孝、义心中存，苦、痛身体抗，故事虽平淡，英雄                    
大侠成名之路,三凌峰,传统武侠,连载中,                        一个江湖小人物从小便成了孤儿，各种江湖的历练使他渐渐成了江湖中有名的大侠。成名之后又遇到了各种奇怪的事情，他是否能一一解决…。                    
唐时雨,叁玖贰柒,传统武侠,连载中,                        我也不知道自己写的是历史还是武侠，说是历史里面有着武侠，说着武侠里面没有等级！只是根据历史的走向，穿插着一个在历史洪流里面的一个小人物，经历的人，事！主角不是无敌的，主角也不争夺天下！新人新书，我争取                    
甲乙正传,甲时乙,传统武侠,连载中,                        剑起九州，侠破万里！茫茫雪道，一人一剑！                    
武全录,江水快快,传统武侠,连载中,                        侠就是夹，左边是仁，右边是义，头顶灰天，脚踩泥地。只因存爱，所以存恨，只因心慈，所以心悲，只因成王败寇，所以济弱扶倾，只因天下无道，所以以武犯禁。当命运之神降临的时刻，每个人物都会面向审判的殿堂，把自                    
永乐清平,卿卿河边草,传统武侠,连载中,                        剑试天下，何惧输赢成败！沧海横流，尽显豪杰本色！人在江湖，真的身不由己？英雄枭雄，共创热血传奇！                    
这是武林,小龙子,传统武侠,连载中,                        有个妖孽青年，身困大阵几十载，今朝下山乱风云有个抠脚老头，画地为牢半百年，一刀曾抵百万师有个江左白衣，一篇《春江花月夜》，曾令整个武林失色这个武林，有人想要证无敌，有人想要得长生我有一剑，劈开夜云见星                    
江湖与群山,十尾酱,传统武侠,连载中,                        多少代江湖风雨，与一代青年人。写江湖，写人，写武侠。                    
燕无涯,落月鉴,传统武侠,连载中,                        讲述燕无涯的传奇故事，记录燕无涯精彩的一生。（看不到燕无涯的成长是因为作者将其拆散于案件之中，会慢慢勾勒完整的）群号：432796128（虽然没几个人看，但是真正喜欢本书可以加进来互相讨论）                    
重生之北宋人生,多吉次仁,传统武侠,连载中,                        一代天骄王博带你走进北宋的江湖朝堂，看新一代大侠如何成长发奋图强，让你品尝武林兴衰盛宴。                    
缘起元末,小猛子,传统武侠,连载中,                        北方的朝廷忙着内斗，南方的军阀忙着抢地盘……天下已经乱了，当那些武林人士发现头上没了朝廷管制以后，会怎么样？于是江湖也乱了……帮派斗争，刀光剑影；江湖儿女，快意恩仇；武林豪杰，侠骨柔情…………一幅波澜                    
剑琴劫,浪子洪流,传统武侠,连载中,                        自古都说患难见真情，但患难过后便是荣华富贵，又有多少能共享。剑与琴的离奇相遇，他们共同经历了多少苦难逃亡，经历了多少是非恩怨，互相信任却成了他们彼此的生存之道。但苦难过后，对面荣华富贵，他们却刀剑相交                    
皇子落难江湖,狠非,传统武侠,连载中,                        落难只是另一个开始。只愿江湖后，我还能归于平淡。                    
诡域孤影,狼鬼手,传统武侠,连载中,                        剑所指，心之道，浪子天涯，断愁肠，江湖疏影，前路漫长，心在何方！                    
缘散花败总归尘,以晓之铭,传统武侠,连载中,                        乱世之中，情之一字，是宿命，还是孽缘？情起，则干戈起，缘去，则纷争散。江湖儿女有着怎样的恩怨情仇，又演绎着怎样的爱恨别离？一切尽在此书。                    
寒夜微凉心凝霜,心心公举,传统武侠,连载中,                        杀手的人生注定是幕悲剧，没有过去，没有未来。江湖的舞台，灯光留给大侠，掌声送给英雄，哪怕唾弃的口水，人们也只愿喷在十恶不赦的坏人脸上。没人知道他是谁，因为知道的人都死了。当有一日，全天下都知道他是谁时                    
守阳山,笔下有鱼L,传统武侠,连载中,                        和金庸先生的小说比起来太差了，我无法诠释自己的人物性格，也无法很好的拿捏自己的作品，争取写1000章，最低写500章，不忘初心，写好作品，我对不起你宋杰，我会认真写你的。                    
这个系统叫武侠,逆笔生花,传统武侠,连载中,                        做了一个十几年的梦，得到一个系统。等等系统要嫉妒值，我还能怎么办，装呗，炫呗……撕葱“我交朋友不管他有没有钱，反正都没我有钱……”“夏冰呢？”“他已经是我朋友了……”……                    
武尊之龙吟,跳舞的烟蒂,传统武侠,连载中,                        孤儿狄龙，自幼在猴窝里被猿猴养大，与孙猴子一般境遇，某次偶遇女唐僧，学会了说人话以及绝顶武功，魅力值一路狂飙，走向开了挂的人生巅峰！                    
无心诀之翩若惊鸿,落藤紫,传统武侠,连载中,                        很多时候我们身不由已，很多时候我们一场情绪波动，就是江湖的一场血雨腥风。我们都在江湖这个圈圈里，这个圈圈里的人很是奇怪，都喜欢给自己戴上各种各样的标签，以区别各自的小圈圈。在自以为找到了一群“志同道合                    
乱武大明,侠骨留香,传统武侠,连载中,                        明洪熙元年初，始建于永乐九年的武当山道教建筑群终于全部竣工。三月初三，真武寿诞。本是道教盛事，却不曾料到籍籍无名的朝阳神教在前一夜突袭武当，致使武当两大重宝遗失。长达十多年的正邪对峙场面形成，江湖上风                    
今倾城,侠白首,传统武侠,连载中,                        战国时期，七雄争霸，民不聊生，天下大乱。对于一个不愿杀人的逃避者来说，何处是桃源？                    
魔起东方,涡2涡,传统武侠,连载中,                        少年皇甫轩来自东方，带着风，带着雨，带着雷电而来，剑指天下，诛魔邪，清正道，开始了他波澜壮阔的人生……                    
绝代剑侠,渔火伴愁,传统武侠,连载中,                        急于成名的少年剑客秦红云，得罪了不少江湖好汉，成婚当日，妻子惨死婚房，他立誓报仇，历经千辛万苦，终于把剑放到了仇人脖子上，这时，他父亲突然出现，竟说……                    
风起九鼎台,是谁的小贝壳,传统武侠,连载中,                        风起九鼎台，山客诉悲哀，风吟雨啸江湖上，少年披衣而归来。                    
大唐偕隐,水聂,传统武侠,连载中,                        号外——宦官纳妾，皇室内斗！什么——长安失陷，外敌入寇！誓与诸君共进退，振起武侠之衰，扭转江湖之颓。一时间，码字声、翻书声杂沓一片，一个声音高喊：你妈喊你回工地搬砖攒钱娶媳妇！                    
花雨天下,尚文杨,传统武侠,连载中,                        五泉山的一颗山玉，经风花雪月，雨露滋养，终修成真心，想到人间一览繁华，投胎为一美丽女子，却遇到酸甜苦辣世事磨砺，雨露化作泪，光华化作情，生出万般情愫。贺兰山的块磐石，经日月分化，雕琢成形，化为人状，但                    
呆客,景君大帝,传统武侠,连载中,                        呆客者，性呆也。初入江湖无人知，偶遇阳明初识武：能与厚聰称兄弟，却难与之相辅成，本人从小爱好武侠，处子作，还望大家多多海涵                    
授天棋,风不解,传统武侠,连载中,                        天授神仙棋，奇寿与天跻。玄素蕴真理，武林入战期。这是一本棋谱引发的江湖动荡，也是一个人心引发的风云变化。                    
弹铗录,秋叶寒.CS,传统武侠,连载中,                        剃发易服令，禁武令，江湖上纷纷扰扰，凡尘俗世也很危险！但是执掌武林的绝世高手们无论如何也想不到，假如一个被遗弃的孤儿得到了超越凡俗的力量，那些视苍生如蝼蚁的大人物有难了！正是：西风索寞叶初乾，长铗归来                    
蓝兔风雨出洞庭,苏轼的园林,传统武侠,连载中,                        我要写的这个虹蓝假想文的名字，是官方推出的武侠五部曲中最为神秘，介绍也最少的《虹猫蓝兔风雨出洞庭》。这一部如同《虹猫蓝兔勇者归来》第53集至104集一样，是官方留给我们童年的遗憾。我今天来写一下文，并                    
分合箓,大林君,传统武侠,连载中,                        金庸先生于我而言，不能算是偶像，却影响深远。儿时，武侠一个美好的梦，成年之后，武侠变成一个不可触碰的痛。金庸先生的去世，于我而言并不仅仅是一个伟大武侠作家的去世，甚至带走了整个武侠世界。选择今日开始连                    
混世路,明肃,传统武侠,连载中,                        一把斩马刀，斩不完凡尘俗世万千红尘心。路漫漫，明心立身持节！                    
五公子的刀,三十九年蝉,传统武侠,连载中,                        据说，酒与女人，或许还加上一把刀，便能让人彻底忘却，各种愚痴、各种痛苦……                    
后来的木婉清,我不道,传统武侠,连载中,                        木婉清后来的事儿，作者的浅薄意淫，纯属自我欣赏，因为太喜欢木婉清这个人物了                    
